ID,Fatal_nonfatal,Time_Season,Time_Weekend,Time_TOD,Flight_DE,Flight_DE_Phase,Flight_Conducted_Under,Pilot_Certificate,Pilot_Airplane Rating,Pilot_Other Aircraft Rating,Pilot_Instrument Rating,Pilot_Instructor Rating,Pilot_Flight_Hours_general,Pilot_Age_general,Pilot_Sex_Female,Pilot_Seat Occupied,Pilot_Restraint Used,Second_Pilot_Instructor,AC_Airworthiness_Normal,AC_Landing Gear_Skid,AC_Airframe_general,AC_Seats_general,AC_Max_Gross_Wt_general,AC_Rated Power_Horsepower_general,AC_Engine_MFR,MF_Wind Speed_knots_general,MF_Altimeter_general,MF_Precipitation and Obscuration,MF_Visibility_miles,MF_Temperature_general,Aircraft Fire
46,0,0,1,0,4,5,0,1,1,0,0,1,1,2,1,2,,1,1,1,1,1,2,2,0,3,2,0,2,5,0
47,0,0,1,0,6,0,4,4,1,0,2,2,0,3,0,2,,1,1,1,5,0,1,1,0,2,4,0,2,4,0
48,0,0,0,0,6,2,0,1,0,0,0,1,5,4,,2,,1,1,1,4,2,5,5,3,1,0,0,2,2,0
49,0,0,0,0,6,2,4,3,0,0,0,2,5,4,0,1,,1,1,1,1,1,3,2,0,0,4,0,2,2,0
50,0,0,0,0,8,3,3,3,1,0,2,2,1,4,0,1,,0,1,1,1,1,1,1,0,2,3,0,2,4,0
51,0,0,0,0,6,0,4,1,2,0,1,1,2,3,,1,1,0,1,1,3,1,1,1,0,,2,0,2,5,0
52,0,0,1,0,4,2,4,1,0,1,0,1,5,4,,1,,1,0,1,5,2,3,4,2,,2,0,2,6,0
53,0,0,1,0,3,2,2,0,2,0,2,2,5,4,0,1,,1,1,1,4,1,2,4,2,1,3,1,1,2,0
54,0,0,0,0,4,2,2,0,2,0,2,2,4,3,0,2,,1,0,1,4,2,4,4,2,1,4,0,2,2,0
55,0,0,1,0,8,5,3,1,0,1,1,0,,2,0,2,,1,1,1,3,0,1,1,0,,2,0,2,6,0
56,0,0,0,0,5,4,4,0,0,0,1,2,4,3,0,2,,1,1,1,0,1,2,2,0,1,2,0,2,4,0
57,0,0,0,0,5,2,4,3,1,0,2,2,0,4,,1,,1,0,1,0,0,0,0,1,1,0,0,2,4,0
58,0,0,0,0,5,1,3,2,1,1,2,2,0,1,,2,,2,1,1,2,0,1,1,0,2,,1,1,,0
59,0,1,1,0,8,4,3,1,1,0,0,1,1,1,0,1,,1,1,1,1,1,1,1,0,1,2,0,2,4,0
60,0,1,0,0,3,2,0,1,1,0,2,1,2,1,0,0,,1,1,1,2,1,2,1,1,,,1,2,1,0
61,0,1,0,0,8,2,0,3,1,0,2,2,4,4,0,2,,2,1,1,1,3,5,4,1,4,2,0,1,5,0
62,0,1,1,0,5,5,4,3,1,0,2,2,1,4,0,2,,2,1,1,0,1,2,3,0,3,0,,2,5,0
63,1,1,0,0,3,2,0,0,2,0,2,2,1,1,,2,,0,1,1,1,1,2,3,0,,1,1,1,3,0
64,0,1,0,2,5,2,4,3,1,1,0,2,1,1,1,2,,1,1,1,,0,0,0,0,3,3,0,2,4,0
65,0,1,0,0,4,1,3,1,1,0,0,1,0,2,,2,,1,1,1,0,1,2,3,0,0,1,0,2,6,0
66,0,1,0,0,3,2,1,0,1,0,2,2,5,4,0,1,,1,0,1,5,2,5,5,0,,,0,2,3,0
67,0,1,0,0,8,2,2,0,1,0,0,1,1,0,0,2,,1,1,0,3,3,5,5,1,4,1,0,2,2,1
68,0,1,0,0,6,2,4,0,0,0,1,0,5,4,0,,,,1,0,4,1,0,1,0,4,,,,,0
69,1,1,1,0,3,2,4,3,0,0,1,2,4,5,,2,1,1,1,1,3,2,5,4,3,3,3,0,2,6,0
70,0,1,0,1,8,2,4,3,1,0,2,2,1,3,0,2,,1,1,1,1,1,2,3,0,0,2,0,2,4,0
71,0,1,0,0,1,2,4,0,0,1,1,2,2,4,0,1,,1,0,1,,0,1,0,1,1,1,0,2,4,0
72,0,1,1,0,2,2,3,0,2,1,1,2,1,1,0,1,,2,1,1,2,0,1,1,0,,2,0,2,6,0
73,1,1,0,0,7,2,3,3,2,1,2,2,0,3,0,2,,2,1,1,3,0,0,1,0,2,2,0,2,6,0
74,0,1,0,0,4,2,2,0,0,0,0,2,4,3,0,1,,1,0,1,4,0,3,3,0,,,,,,0
75,0,1,1,0,5,2,4,0,0,1,1,2,4,3,0,2,,1,1,1,2,2,4,3,3,1,0,0,2,3,0
76,0,1,1,0,8,3,2,1,1,0,0,1,3,1,0,2,,1,0,1,1,1,2,2,0,,2,0,2,6,0
77,0,1,0,0,5,3,3,0,0,0,1,2,,5,0,2,,2,1,0,1,0,0,1,0,3,2,0,2,0,0
78,0,1,1,0,3,2,4,3,2,1,2,2,3,4,0,1,,1,0,0,0,0,0,0,1,4,2,0,2,5,0
79,0,1,0,1,8,2,0,0,2,0,0,1,4,2,0,2,,1,0,1,2,2,5,5,3,,3,0,2,4,0
80,0,1,0,0,4,5,1,1,1,0,0,1,3,2,0,2,,1,1,1,2,1,2,3,0,3,,0,,1,0
81,0,1,0,0,5,2,4,3,2,0,2,2,0,4,0,1,,1,1,1,2,1,1,1,0,2,3,0,2,5,0
82,0,1,0,0,5,2,2,1,1,0,0,1,0,2,0,0,,1,1,1,5,0,3,3,0,0,0,0,2,4,0
83,0,1,0,0,4,2,1,0,2,0,2,2,5,4,,1,1,1,1,1,2,2,3,4,2,5,0,0,2,6,0
84,0,1,1,0,5,2,2,1,1,0,0,1,4,2,0,1,,1,1,1,5,1,3,3,2,2,0,,2,3,0
85,0,1,0,0,6,2,4,0,2,0,1,2,2,4,,2,3,1,1,1,2,2,3,3,2,2,4,0,2,4,0
86,0,1,0,0,8,2,1,0,1,0,0,2,5,4,,2,1,1,1,0,4,3,5,5,1,,1,0,1,4,0
87,0,1,0,0,7,4,4,3,2,1,2,2,2,3,0,1,,1,0,1,0,0,0,0,1,,,0,2,6,0
88,0,1,0,0,5,2,2,0,2,0,2,2,5,4,0,1,,1,1,1,5,1,3,3,2,0,,0,2,2,0
89,0,1,0,0,6,2,0,1,0,0,0,1,5,3,,2,,2,0,0,,3,5,5,1,,2,,2,5,0
90,0,1,1,1,4,2,5,0,1,0,0,2,4,3,0,2,,2,1,0,3,2,4,3,2,2,2,0,1,5,0
91,0,1,1,0,5,3,4,3,1,0,2,2,0,1,0,2,,1,1,1,1,1,2,3,0,4,2,0,2,3,0
92,0,1,1,0,2,2,4,0,1,0,2,2,0,0,0,2,,1,1,1,1,0,0,1,0,,5,0,2,4,0
93,0,1,0,0,1,2,4,0,2,0,0,2,4,2,0,1,,1,1,1,5,1,2,3,0,2,2,0,2,2,0
94,0,1,0,1,1,2,5,0,1,0,2,2,4,2,,1,,0,1,1,3,1,3,4,2,,2,0,2,3,1
95,0,1,1,0,5,1,3,4,1,0,2,2,0,0,,2,,2,1,1,1,0,0,0,0,,,0,2,6,0
96,0,1,1,0,6,2,5,1,0,0,0,1,4,1,,2,,1,1,1,1,2,5,5,3,,4,0,2,5,0
97,1,1,1,1,0,5,4,1,0,0,0,0,5,4,,2,,1,1,1,2,3,5,5,2,1,4,0,2,3,0
98,0,1,0,0,3,2,2,0,0,0,1,2,5,5,,2,,1,0,1,3,1,4,4,2,2,2,0,2,2,0
99,0,1,1,0,1,2,5,0,1,0,0,2,3,2,,2,1,1,1,1,2,2,5,5,2,3,3,0,2,4,0
100,0,1,1,0,8,4,1,0,0,0,0,1,5,4,0,2,,1,1,1,4,2,5,5,3,3,,0,2,1,0
101,1,2,1,0,4,2,4,2,1,1,2,2,0,4,0,1,,1,0,1,0,0,1,0,0,,4,0,2,4,0
102,0,2,1,0,7,2,3,2,1,1,2,2,0,2,0,2,,2,1,1,,0,0,1,0,,,0,2,5,0
103,0,2,1,0,8,2,2,1,1,0,2,1,5,4,0,2,,2,0,0,5,1,5,5,1,,2,0,2,5,0
104,1,2,1,0,6,2,0,0,2,0,0,2,5,4,0,2,,1,1,1,4,2,5,4,2,3,4,0,2,3,0
105,0,2,0,0,4,1,0,0,0,0,0,2,4,3,,2,,0,1,1,5,3,4,5,2,3,3,0,2,4,0
106,0,2,0,0,8,4,4,2,1,1,2,2,,5,0,,,1,1,0,,1,1,1,0,1,2,0,2,3,0
107,1,2,0,0,5,2,0,0,1,0,2,2,2,2,0,2,,1,1,1,2,0,0,0,0,,3,,2,5,0
108,0,2,0,0,8,3,2,0,0,0,1,2,,4,0,2,,1,0,1,1,1,2,3,0,,4,0,2,4,0
